trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.85, 'e': 0.5381278270945582}",20,10,-4.470177587201316,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
43,False,"{'a': 0.85, 'e': 0.5300559096881398}",25,0,-79.27268821367487,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
44,False,"{'a': 0.85, 'e': 0.5221050710428177}",20,0,-36.52800157527274,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
45,False,"{'a': 0.85, 'e': 0.5142734949771754}",20,0,-31.48028059565747,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
46,False,"{'a': 0.85, 'e': 0.5065593925525178}",20,7,-11.484587389969532,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
47,False,"{'a': 0.85, 'e': 0.49896100166422996}",20,13,1.283076069896966,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
48,False,"{'a': 0.85, 'e': 0.4914765866392665}",20,0,-132.75381560949614,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",1
49,False,"{'a': 0.85, 'e': 0.48410443783967755}",25,12,-11.600149926174275,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
50,False,"{'a': 0.85, 'e': 0.47684287127208236}",25,8,-18.192279468895997,"{0: 15, 1: 0, 2: 0, 3: 2, 4: 0}",1
51,False,"{'a': 0.85, 'e': 0.4696902282030011}",20,0,-183.68277758330458,"{0: 11, 1: 0, 2: 4, 3: 2, 4: 3}",0
52,False,"{'a': 0.85, 'e': 0.4626448747799561}",20,0,1.6378669034304045,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
53,False,"{'a': 0.85, 'e': 0.45570520165825673}",20,0,-37.80317026756864,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
54,False,"{'a': 0.85, 'e': 0.4488696236333829}",30,0,-57.00268523375571,"{0: 25, 1: 1, 2: 2, 3: 1, 4: 1}",0
55,False,"{'a': 0.85, 'e': 0.4421365792788821}",25,10,-13.155477177354346,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
56,False,"{'a': 0.85, 'e': 0.4355045305896989}",25,16,17.299546991344187,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.85, 'e': 0.4289719626308534}",20,0,-26.971303103518746,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
58,False,"{'a': 0.85, 'e': 0.4225373831913906}",25,14,-19.00787801327812,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 0}",1
59,False,"{'a': 0.85, 'e': 0.41619932244351976}",30,0,-61.8405608980602,"{0: 20, 1: 4, 2: 5, 3: 1, 4: 0}",0
60,False,"{'a': 0.85, 'e': 0.4099563326068669}",35,0,-109.78508646707411,"{0: 27, 1: 2, 2: 3, 3: 1, 4: 2}",0
